iter	Passed	Remaining
338	1131	2205
339	1134	2201
340	1137	2198
341	1140	2194
342	1143	2191
343	1147	2187
344	1149	2183
345	1152	2179
346	1156	2175
347	1159	2172
348	1162	2168
349	1165	2164
350	1168	2160
351	1171	2157
352	1175	2153
353	1178	2149
354	1181	2145
355	1184	2142
356	1187	2138
357	1190	2135
358	1193	2131
359	1196	2127
360	1201	2125
361	1205	2125
362	1209	2122
363	1212	2118
364	1214	2113
365	1218	2110
366	1220	2105
367	1223	2100
368	1226	2096
369	1229	2093
370	1233	2090
371	1236	2087
372	1239	2083
373	1242	2079
374	1245	2075
375	1248	2072
376	1251	2068
377	1254	2063
378	1257	2060
379	1260	2056
380	1263	2053
381	1267	2049
382	1270	2045
383	1272	2041
384	1275	2038
385	1278	2033
386	1281	2030
387	1284	2026
388	1287	2022
389	1291	2019
390	1294	2016
391	1297	2012
392	1300	2009
393	1304	2005
394	1307	2002
395	1310	1999
396	1314	1995
397	1317	1992
398	1320	1988
399	1323	1985
400	1326	1982
401	1330	1978
402	1333	1975
403	1335	1969
404	1338	1966
405	1341	1963
406	1344	1959
407	1348	1955
408	1351	1952
409	1354	1949
410	1358	1946
411	1361	1943
412	1364	1939
413	1368	1936
414	1371	1933
415	1374	1929
416	1377	1925
417	1380	1922
418	1384	1919
419	1388	1917
420	1391	1913
421	1394	1910
422	1397	1905
423	1401	1903
424	1405	1901
425	1408	1898
426	1412	1895
427	1416	1892
428	1419	1889
429	1423	1887
430	1428	1885
431	1431	1882
432	1436	1880
433	1438	1876
434	1443	1875
435	1447	1872
436	1451	1870
437	1455	1867
438	1457	1863
439	1460	1858
440	1463	1855
441	1465	1850
442	1469	1847
443	1474	1846
444	1478	1843
445	1481	1840
446	1484	1836
447	1488	1833
448	1491	1830
449	1495	1827
450	1498	1823
451	1500	1819
452	1504	1816
453	1507	1813
454	1511	1810
455	1514	1806
456	1517	1803
457	1521	1800
458	1524	1796
459	1527	1793
460	1531	1790
461	1535	1787
462	1538	1784
463	1541	1781
464	1545	1777
465	1548	1774
466	1551	1771
467	1555	1767
468	1559	1765
469	1561	1761
470	1566	1758
471	1569	1755
472	1573	1752
473	1576	1749
474	1580	1747
475	1583	1743
476	1587	1740
477	1590	1736
478	1595	1735
479	1598	1732
480	1602	1729
481	1608	1728
482	1612	1725
483	1617	1723
484	1620	1720
485	1623	1716
486	1626	1713
487	1631	1711
488	1634	1707
489	1637	1704
490	1641	1701
491	1644	1697
492	1647	1694
493	1650	1691
494	1654	1687
495	1657	1684
496	1661	1681
497	1664	1678
498	1667	1674
499	1670	1670
500	1673	1667
501	1677	1663
502	1680	1660
503	1683	1656
504	1686	1653
505	1689	1649
506	1693	1647
507	1697	1643
508	1700	1640
509	1703	1636
510	1706	1633
511	1710	1630
512	1713	1627
513	1717	1623
514	1720	1620
515	1724	1617
516	1726	1613
517	1729	1609
518	1733	1606
519	1736	1602
520	1740	1599
521	1743	1596
522	1747	1593
523	1750	1589
524	1753	1586
525	1757	1583
526	1759	1579
527	1763	1576
528	1767	1573
529	1771	1570
530	1774	1567
531	1777	1563
532	1779	1558
533	1784	1557
534	1788	1554
535	1792	1552
536	1797	1549
537	1801	1546
538	1805	1543
539	1809	1541
540	1814	1539
541	1821	1539
542	1825	1536
543	1830	1534
544	1833	1530
545	1837	1527
546	1840	1524
547	1844	1521
548	1848	1518
549	1851	1514
550	1854	1511
551	1858	1508
552	1861	1505
553	1866	1502
554	1869	1498
555	1873	1496
556	1876	1492
557	1880	1489
558	1883	1486
559	1887	1483
560	1891	1479
561	1894	1476
562	1897	1472
563	1900	1469
564	1903	1465
565	1905	1461
566	1908	1457
567	1910	1453
568	1912	1448
569	1915	1445
570	1919	1442
571	1921	1438
572	1924	1434
573	1927	1430
574	1930	1427
575	1934	1424
576	1937	1420
577	1940	1416
578	1943	1413
579	1946	1409
580	1950	1406
581	1953	1402
582	1956	1399
583	1959	1396
584	1963	1392
585	1966	1389
586	1968	1385
587	1972	1381
588	1975	1378
589	1978	1374
590	1981	1371
591	1985	1368
592	1988	1364
593	1992	1361
594	1995	1358
595	1998	1354
596	2001	1351
597	2004	1347
598	2007	1343
599	2010	1340
600	2014	1337
601	2017	1333
602	2021	1330
603	2024	1327
604	2027	1324
605	2030	1320
606	2034	1316
607	2037	1313
608	2040	1310
609	2043	1306
610	2046	1303
611	2049	1299
612	2052	1295
613	2055	1292
614	2058	1288
615	2061	1285
616	2065	1281
617	2068	1278
618	2071	1275
619	2074	1271
620	2078	1268
621	2081	1264
622	2084	1261
623	2087	1258
624	2091	1254
625	2094	1251
626	2097	1247
627	2100	1244
628	2103	1240
629	2106	1237
630	2110	1233
631	2113	1230
632	2116	1227
633	2119	1223
634	2122	1220
635	2125	1216
636	2129	1213
637	2132	1209
638	2135	1206
639	2138	1202
640	2141	1199
641	2145	1196
642	2148	1192
643	2151	1189
644	2155	1186
645	2159	1183
646	2163	1180
647	2165	1176
648	2168	1172
649	2171	1169
650	2175	1166
651	2179	1163
652	2184	1160
653	2188	1157
654	2191	1154
655	2195	1151
656	2198	1147
657	2202	1144
658	2206	1141
659	2210	1138
660	2214	1135
661	2218	1132
662	2222	1129
663	2225	1125
664	2228	1122
665	2230	1118
666	2234	1115
667	2238	1112
668	2241	1109
669	2245	1105
670	2247	1102
671	2252	1099
672	2256	1096
673	2259	1092
674	2263	1089
675	2266	1086
676	2270	1083
677	2273	1079
678	2275	1075
679	2279	1072
680	2283	1069
681	2286	1066
682	2289	1062
683	2294	1059
684	2297	1056
685	2300	1052
686	2303	1049
687	2307	1046
688	2311	1043
689	2314	1039
690	2318	1036
691	2321	1033
692	2327	1030
693	2330	1027
694	2334	1024
695	2337	1021
696	2339	1017
697	2343	1014
698	2347	1010
699	2349	1007
700	2353	1003
701	2358	1001
702	2363	998
703	2366	995
704	2371	992
705	2374	988
706	2378	985
707	2381	982
708	2385	979
709	2388	975
710	2391	972
711	2393	968
712	2397	964
713	2401	961
714	2404	958
715	2408	955
716	2411	951
717	2415	948
718	2419	945
719	2422	942
720	2425	938
721	2429	935
722	2432	932
723	2436	928
724	2438	924
725	2441	921
726	2444	917
727	2447	914
728	2449	910
729	2453	907
730	2456	903
731	2459	900
732	2462	897
733	2465	893
734	2468	890
735	2472	886
736	2476	883
737	2479	880
738	2483	876
739	2485	873
740	2490	870
741	2493	867
742	2497	863
743	2500	860
744	2504	857
745	2507	853
746	2510	850
747	2513	846
748	2517	843
749	2521	840
750	2524	837
751	2527	833
752	2531	830
753	2534	826
754	2538	823
755	2541	820
756	2544	816
757	2549	813
758	2552	810
759	2556	807
760	2559	803
761	2562	800
762	2566	797
763	2569	793
764	2572	790
765	2575	786
766	2579	783
767	2582	780
768	2585	776
769	2588	773
770	2592	769
771	2595	766
772	2599	763
773	2602	759
774	2605	756
775	2608	752
776	2612	749
777	2615	746
778	2618	742
779	2621	739
780	2624	735
781	2627	732
782	2630	729
783	2633	725
784	2636	722
785	2640	718
786	2642	715
787	2644	711
788	2647	708
789	2651	704
790	2653	701
791	2657	698
792	2661	694
793	2664	691
794	2667	687
795	2670	684
796	2673	681
797	2677	677
798	2680	674
799	2683	670
800	2686	667
801	2689	664
802	2692	660
803	2696	657
804	2699	653
805	2702	650
806	2706	647
807	2709	643
808	2712	640
809	2715	636
810	2718	633
811	2721	630
812	2724	626
813	2728	623
814	2732	620
815	2736	617
816	2739	613
817	2743	610
818	2747	607
819	2750	603
820	2754	600
821	2757	597
822	2760	593
823	2764	590
824	2767	587
825	2770	583
826	2773	580
827	2775	576
828	2778	573
829	2781	569
830	2785	566
831	2788	562
832	2791	559
833	2794	556
834	2797	552
835	2801	549
836	2804	546
837	2808	542
838	2811	539
839	2814	536
840	2818	532
841	2822	529
842	2825	526
843	2828	522
844	2832	519
845	2835	516
846	2838	512
847	2841	509
848	2844	505
849	2850	503
850	2853	499
851	2856	496
852	2860	492
853	2863	489
854	2866	486
855	2870	482
856	2873	479
857	2877	476
858	2880	472
859	2884	469
860	2887	466
861	2891	462
862	2894	459
863	2898	456
864	2901	452
865	2904	449
866	2907	446
867	2911	442
868	2915	439
869	2919	436
870	2922	432
871	2925	429
872	2929	426
873	2932	422
874	2935	419
875	2940	416
876	2944	412
877	2948	409
878	2951	406
879	2955	403
880	2959	399
881	2962	396
882	2965	392
883	2969	389
884	2973	386
885	2976	383
886	2980	379
887	2983	376
888	2987	372
889	2991	369
890	2994	366
891	2997	362
892	3001	359
893	3004	356
894	3007	352
895	3011	349
896	3014	346
897	3018	342
898	3021	339
899	3025	336
900	3027	332
901	3030	329
902	3034	325
903	3037	322
904	3040	319
905	3044	315
906	3047	312
907	3051	309
908	3054	305
909	3057	302
910	3060	299
911	3064	295
912	3067	292
913	3071	289
914	3075	285
915	3078	282
916	3081	278
917	3084	275
918	3088	272
919	3091	268
920	3095	265
921	3099	262
922	3102	258
923	3106	255
924	3109	252
925	3113	248
926	3116	245
927	3120	242
928	3124	238
929	3127	235
930	3130	232
931	3134	228
932	3137	225
933	3140	221
934	3143	218
935	3147	215
936	3150	211
937	3154	208
938	3157	205
939	3160	201
940	3163	198
941	3167	195
942	3170	191
943	3173	188
944	3176	184
945	3179	181
946	3182	178
947	3185	174
948	3188	171
949	3191	167
950	3195	164
951	3199	161
952	3202	157
953	3205	154
954	3208	151
955	3212	147
956	3215	144
957	3218	141
958	3221	137
959	3224	134
960	3227	130
961	3230	127
962	3233	124
963	3237	120
964	3240	117
965	3243	114
966	3246	110
967	3249	107
968	3251	104
969	3254	100
970	3257	97
971	3261	93
972	3264	90
973	3267	87
974	3270	83
975	3273	80
976	3276	77
977	3279	73
978	3283	70
979	3286	67
980	3290	63
981	3293	60
982	3296	57
983	3299	53
984	3302	50
985	3306	46
986	3309	43
987	3313	40
988	3325	36
989	3329	33
990	3332	30
991	3336	26
992	3340	23
993	3343	20
994	3346	16
995	3350	13
996	3353	10
997	3356	6
998	3359	3
999	3362	0
